Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Paracetamol,Antifungal,Cream,925 mg,Roche Holding AG,Virus,Prescription
Paracetamol,Antiviral,Capsule,519 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Dextromethorphan,Analgesic,Inhaler,89 mg,Pfizer Inc.,Depression,Over-the-Counter
Paracetamol,Antibiotic,Inhaler,673 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Methicillin,Antiviral,Drops,999 mg,Amgen Inc.,Wound,Prescription
Metoprolol,Antidepressant,Drops,112 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Dextromethorphan,Antipyretic,Ointment,888 mg,Biogen Inc.,Fungus,Over-the-Counter
Dextromethorphan,Analgesic,Cream,846 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Dextromethorphan,Antiviral,Cream,766 mg,Bristol-Myers Squibb Company,Depression,Prescription
Dextromethorphan,Antibiotic,Syrup,714 mg,GlaxoSmithKline plc,Pain,Prescription
Ibuprofen,Antibiotic,Drops,97 mg,GlaxoSmithKline plc,Infection,Prescription
Clarithromycin,Antidepressant,Injection,845 mg,Biogen Inc.,Fungus,Over-the-Counter
Paracetamol,Antifungal,Capsule,245 mg,GlaxoSmithKline plc,Depression,Prescription
Ibuprofen,Antiviral,Drops,269 mg,Eli Lilly and Company,Pain,Over-the-Counter
Ibuprofen,Antidiabetic,Ointment,290 mg,CSL Limited,Fungus,Prescription
Metronidazole,Antiseptic,Injection,666 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Dextromethorphan,Antifungal,Ointment,75 mg,Pfizer Inc.,Diabetes,Prescription
Dextromethorphan,Antiviral,Cream,72 mg,Sanofi S.A.,Depression,Prescription
Cefaclor,Antibiotic,Inhaler,831 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Acetaminophen,Antipyretic,Injection,978 mg,Biogen Inc.,Pain,Over-the-Counter
Paracetamol,Antifungal,Ointment,325 mg,AbbVie Inc.,Diabetes,Prescription
Paracetamol,Antidiabetic,Drops,695 mg,Sanofi S.A.,Pain,Prescription
Acetaminophen,Antifungal,Capsule,490 mg,CSL Limited,Fever,Prescription
Ibuprofen,Antifungal,Cream,610 mg,Bristol-Myers Squibb Company,Virus,Prescription
Methicillin,Antiviral,Capsule,339 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Paracetamol,Antipyretic,Drops,186 mg,AstraZeneca plc,Infection,Prescription
Cefadroxil,Antiseptic,Inhaler,835 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Clarithromycin,Antidiabetic,Syrup,624 mg,CSL Limited,Depression,Over-the-Counter
Metformin,Analgesic,Cream,216 mg,Johnson & Johnson,Depression,Prescription
Amoxicillin,Antipyretic,Tablet,743 mg,AstraZeneca plc,Fever,Prescription
Ibuprofen,Analgesic,Drops,891 mg,"Merck & Co., Inc.",Fever,Prescription
Acyclovir,Analgesic,Cream,684 mg,Eli Lilly and Company,Pain,Prescription
Metoprolol,Antiviral,Cream,21 mg,AbbVie Inc.,Fungus,Over-the-Counter
Cephalexin,Analgesic,Ointment,315 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Dextromethorphan,Antipyretic,Drops,300 mg,Johnson & Johnson,Virus,Prescription
Amoxicillin,Analgesic,Inhaler,539 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Paracetamol,Antiviral,Capsule,53 mg,AstraZeneca plc,Virus,Prescription
Paracetamol,Antipyretic,Inhaler,607 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Ibuprofen,Antidiabetic,Cream,800 mg,Sanofi S.A.,Fungus,Over-the-Counter
Acyclovir,Antiviral,Inhaler,438 mg,Pfizer Inc.,Virus,Over-the-Counter
Ibuprofen,Antiviral,Syrup,595 mg,Novartis AG,Virus,Over-the-Counter
Ibuprofen,Antiseptic,Ointment,17 mg,"Merck & Co., Inc.",Depression,Prescription
Ibuprofen,Analgesic,Cream,172 mg,Pfizer Inc.,Depression,Prescription
Paracetamol,Antidiabetic,Syrup,712 mg,AbbVie Inc.,Fever,Over-the-Counter
Metoprolol,Antidepressant,Ointment,464 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Metronidazole,Antiviral,Cream,246 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Cefixime,Antibiotic,Tablet,558 mg,AstraZeneca plc,Pain,Prescription
Dextromethorphan,Antiviral,Drops,371 mg,Johnson & Johnson,Pain,Over-the-Counter
Acetaminophen,Antipyretic,Cream,956 mg,Amgen Inc.,Pain,Prescription
Amoxicillin,Antidepressant,Tablet,993 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Metoprolol,Antiseptic,Cream,486 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Dextromethorphan,Analgesic,Syrup,346 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Clarithromycin,Antidepressant,Cream,996 mg,Novartis AG,Fever,Over-the-Counter
Ibuprofen,Antiseptic,Cream,679 mg,Biogen Inc.,Pain,Over-the-Counter
Paracetamol,Antiviral,Ointment,194 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Paracetamol,Antibiotic,Tablet,377 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Cephalexin,Antifungal,Drops,819 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Cephalexin,Antidepressant,Cream,961 mg,Amgen Inc.,Infection,Over-the-Counter
Metoprolol,Antibiotic,Ointment,641 mg,AbbVie Inc.,Fungus,Prescription
Dextromethorphan,Antidiabetic,Syrup,671 mg,"Merck & Co., Inc.",Pain,Prescription
Paracetamol,Antipyretic,Tablet,227 mg,AbbVie Inc.,Fungus,Over-the-Counter
Ketoprofen,Antipyretic,Tablet,68 mg,Biogen Inc.,Virus,Prescription
Acetaminophen,Antidepressant,Capsule,667 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Paracetamol,Analgesic,Injection,604 mg,Bayer AG,Fungus,Prescription
Paracetamol,Antidiabetic,Ointment,713 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Acetaminophen,Antiseptic,Tablet,611 mg,Bayer AG,Infection,Over-the-Counter
Amoxicillin,Antibiotic,Cream,256 mg,Amgen Inc.,Wound,Over-the-Counter
Dextromethorphan,Antidepressant,Inhaler,88 mg,Novo Nordisk A/S,Virus,Prescription
Cefoperazone,Antidepressant,Drops,232 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Dextromethorphan,Antibiotic,Capsule,319 mg,GlaxoSmithKline plc,Wound,Prescription
Acetaminophen,Analgesic,Injection,560 mg,Pfizer Inc.,Fever,Over-the-Counter
Ibuprofen,Antiseptic,Tablet,892 mg,"Merck & Co., Inc.",Infection,Prescription
Dextromethorphan,Antiviral,Drops,940 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Methicillin,Antiseptic,Capsule,244 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Clarithromycin,Antidiabetic,Ointment,840 mg,"Merck & Co., Inc.",Wound,Prescription
Clarithromycin,Antiviral,Capsule,828 mg,Novartis AG,Infection,Over-the-Counter
Clarithromycin,Analgesic,Ointment,646 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Ketoprofen,Antiseptic,Tablet,732 mg,CSL Limited,Fungus,Prescription
Metronidazole,Antifungal,Syrup,307 mg,AstraZeneca plc,Wound,Over-the-Counter
Acetaminophen,Antibiotic,Capsule,170 mg,Roche Holding AG,Virus,Prescription
Amoxicillin,Antifungal,Injection,26 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Paracetamol,Antifungal,Inhaler,396 mg,Roche Holding AG,Fungus,Over-the-Counter
Ibuprofen,Analgesic,Cream,375 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Amoxicillin,Antiseptic,Ointment,190 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Acetaminophen,Antidepressant,Syrup,949 mg,"Gilead Sciences, Inc.",Fever,Prescription
Dextromethorphan,Analgesic,Capsule,79 mg,Biogen Inc.,Wound,Prescription
Cefalexin,Antipyretic,Syrup,502 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Acetaminophen,Antidepressant,Ointment,929 mg,Roche Holding AG,Depression,Prescription
Dextromethorphan,Antiviral,Tablet,549 mg,Biogen Inc.,Virus,Over-the-Counter
Ibuprofen,Analgesic,Syrup,888 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Ibuprofen,Antidepressant,Inhaler,191 mg,Roche Holding AG,Fungus,Over-the-Counter
Paracetamol,Antidepressant,Drops,617 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Ketoprofen,Antifungal,Syrup,615 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Clarithromycin,Analgesic,Capsule,872 mg,Eli Lilly and Company,Virus,Prescription
Ketoprofen,Antipyretic,Inhaler,950 mg,"Gilead Sciences, Inc.",Pain,Prescription
Clindamycin,Antidiabetic,Inhaler,186 mg,Bristol-Myers Squibb Company,Wound,Prescription
Cefaclor,Analgesic,Capsule,464 mg,Bristol-Myers Squibb Company,Virus,Prescription
Amoxicillin,Antibiotic,Injection,252 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Cefadroxil,Antiseptic,Drops,70 mg,GlaxoSmithKline plc,Fever,Prescription
Methicillin,Analgesic,Inhaler,391 mg,Johnson & Johnson,Diabetes,Prescription
Amoxicillin + Metronidazole,Antiviral,Tablet,414 mg,Bayer AG,Pain,Prescription
Ibuprofen,Antidepressant,Ointment,946 mg,CSL Limited,Fever,Over-the-Counter
Dextromethorphan,Antibiotic,Drops,325 mg,GlaxoSmithKline plc,Diabetes,Over-the-Counter
Cefoperazone,Antifungal,Drops,625 mg,Pfizer Inc.,Fungus,Prescription
Acetaminophen,Antiseptic,Inhaler,559 mg,Eli Lilly and Company,Fever,Prescription
Cefadroxil,Antidepressant,Syrup,190 mg,Eli Lilly and Company,Wound,Prescription
Ibuprofen,Analgesic,Syrup,561 mg,Johnson & Johnson,Virus,Prescription
Methicillin,Antidiabetic,Injection,659 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Paracetamol,Antidepressant,Syrup,980 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Metronidazole,Antibiotic,Tablet,543 mg,Pfizer Inc.,Wound,Prescription
Clarithromycin,Antidiabetic,Injection,768 mg,Amgen Inc.,Depression,Over-the-Counter
Paracetamol,Antidepressant,Drops,258 mg,AbbVie Inc.,Virus,Over-the-Counter
Acyclovir,Antifungal,Cream,631 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Clarithromycin,Antiseptic,Tablet,623 mg,Novo Nordisk A/S,Infection,Prescription
Dextromethorphan,Antiseptic,Injection,868 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Paracetamol,Antibiotic,Injection,761 mg,Pfizer Inc.,Pain,Over-the-Counter
Cefaclor,Antidepressant,Injection,559 mg,Biogen Inc.,Diabetes,Prescription
Ibuprofen,Antibiotic,Ointment,750 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Acetaminophen,Antidepressant,Tablet,695 mg,Eli Lilly and Company,Pain,Over-the-Counter
Acetaminophen,Antidiabetic,Injection,605 mg,Johnson & Johnson,Infection,Over-the-Counter
Amoxicillin,Analgesic,Capsule,906 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Acetaminophen,Analgesic,Ointment,121 mg,Biogen Inc.,Wound,Prescription
Cefoperazone,Antidepressant,Syrup,578 mg,Johnson & Johnson,Depression,Over-the-Counter
Ibuprofen,Antidepressant,Cream,463 mg,Johnson & Johnson,Depression,Prescription
Ibuprofen,Antidepressant,Tablet,133 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Dextromethorphan,Antiviral,Inhaler,91 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Dextromethorphan,Antibiotic,Injection,927 mg,AstraZeneca plc,Diabetes,Prescription
Ibuprofen,Analgesic,Tablet,569 mg,Johnson & Johnson,Fever,Prescription
Paracetamol,Antiviral,Drops,512 mg,Sanofi S.A.,Wound,Over-the-Counter
Metronidazole,Analgesic,Drops,667 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Amoxicillin,Antibiotic,Inhaler,974 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Amoxicillin,Antidiabetic,Capsule,543 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Cefixime,Analgesic,Inhaler,543 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Ibuprofen,Antidepressant,Syrup,652 mg,Novo Nordisk A/S,Diabetes,Prescription
Paracetamol,Antifungal,Injection,921 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Paracetamol,Antibiotic,Inhaler,344 mg,Pfizer Inc.,Wound,Prescription
Amoxicillin,Antidiabetic,Tablet,382 mg,AbbVie Inc.,Fever,Over-the-Counter
Metronidazole,Antidiabetic,Syrup,87 mg,GlaxoSmithKline plc,Pain,Prescription
Acetaminophen,Antidiabetic,Cream,846 mg,Eli Lilly and Company,Depression,Prescription
Amoxicillin,Antibiotic,Syrup,151 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Cefadroxil,Antibiotic,Ointment,259 mg,Eli Lilly and Company,Wound,Over-the-Counter
Acetaminophen,Antifungal,Cream,281 mg,Johnson & Johnson,Fungus,Prescription
Clarithromycin,Antiseptic,Syrup,981 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Paracetamol,Antipyretic,Tablet,313 mg,Eli Lilly and Company,Wound,Prescription
Ibuprofen,Antifungal,Inhaler,919 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Clarithromycin,Analgesic,Syrup,526 mg,CSL Limited,Fungus,Prescription
Amoxicillin,Antipyretic,Injection,889 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Paracetamol,Analgesic,Inhaler,572 mg,Pfizer Inc.,Depression,Prescription
Dextromethorphan,Antidiabetic,Syrup,543 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Amoxicillin,Antidepressant,Syrup,997 mg,Biogen Inc.,Pain,Prescription
Acetaminophen,Antidepressant,Syrup,220 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Acyclovir,Antibiotic,Drops,359 mg,Pfizer Inc.,Diabetes,Prescription
Clarithromycin,Antidiabetic,Drops,662 mg,Biogen Inc.,Fever,Over-the-Counter
Amoxicillin,Antiseptic,Cream,857 mg,Roche Holding AG,Virus,Over-the-Counter
Acetaminophen,Analgesic,Drops,66 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Ibuprofen,Antiseptic,Capsule,918 mg,CSL Limited,Depression,Over-the-Counter
Metronidazole,Antiseptic,Drops,439 mg,Eli Lilly and Company,Wound,Over-the-Counter
Paracetamol,Antipyretic,Ointment,7 mg,Eli Lilly and Company,Infection,Over-the-Counter
Amoxicillin,Antiseptic,Ointment,954 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Acetaminophen,Antibiotic,Injection,728 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Ibuprofen,Antibiotic,Cream,91 mg,Bayer AG,Diabetes,Prescription
Ibuprofen,Antipyretic,Inhaler,411 mg,GlaxoSmithKline plc,Wound,Prescription
Dextromethorphan,Antidiabetic,Tablet,212 mg,Biogen Inc.,Fungus,Prescription
Amoxicillin,Antiseptic,Tablet,281 mg,Johnson & Johnson,Fever,Over-the-Counter
Acyclovir,Antidiabetic,Inhaler,379 mg,AbbVie Inc.,Diabetes,Over-the-Counter
Acyclovir,Antifungal,Drops,274 mg,Teva Pharmaceutical Industries Ltd.,Pain,Prescription
Acetaminophen,Antipyretic,Ointment,861 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Amoxicillin,Antifungal,Syrup,710 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Amoxicillin,Antiviral,Injection,950 mg,Amgen Inc.,Diabetes,Prescription
Dextromethorphan,Antipyretic,Cream,251 mg,CSL Limited,Depression,Prescription
Acyclovir,Antibiotic,Injection,579 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Cefaclor,Antiseptic,Inhaler,520 mg,Roche Holding AG,Fever,Prescription
Paracetamol,Antiviral,Syrup,30 mg,Pfizer Inc.,Infection,Over-the-Counter
Acetaminophen,Antipyretic,Tablet,898 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Ibuprofen,Antidepressant,Cream,755 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Paracetamol,Antipyretic,Cream,766 mg,AstraZeneca plc,Fungus,Over-the-Counter
Dextromethorphan,Antibiotic,Injection,306 mg,AbbVie Inc.,Pain,Over-the-Counter
Acetaminophen,Antipyretic,Capsule,78 mg,Sanofi S.A.,Pain,Prescription
Ketoprofen,Analgesic,Capsule,928 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Acyclovir,Antibiotic,Injection,156 mg,Biogen Inc.,Pain,Prescription
Acetaminophen,Antibiotic,Capsule,25 mg,Bristol-Myers Squibb Company,Virus,Prescription
Dextromethorphan,Antibiotic,Injection,533 mg,Amgen Inc.,Virus,Over-the-Counter
Paracetamol,Antidiabetic,Cream,948 mg,AbbVie Inc.,Virus,Over-the-Counter
Dextromethorphan,Antifungal,Syrup,345 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Amoxicillin,Analgesic,Drops,325 mg,Roche Holding AG,Depression,Prescription
Ibuprofen,Antidepressant,Cream,562 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Ibuprofen,Analgesic,Tablet,645 mg,Sanofi S.A.,Fever,Prescription
Metronidazole,Antifungal,Tablet,25 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Cefoperazone,Antiseptic,Inhaler,368 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Cefaclor,Analgesic,Ointment,19 mg,Bayer AG,Fungus,Over-the-Counter
Metoprolol,Antidepressant,Injection,109 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Paracetamol,Antifungal,Syrup,683 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Cefaclor,Analgesic,Tablet,327 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Dextromethorphan,Analgesic,Syrup,325 mg,"Gilead Sciences, Inc.",Depression,Prescription
Dextromethorphan,Antiviral,Drops,31 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Ibuprofen,Antibiotic,Drops,571 mg,Sanofi S.A.,Infection,Over-the-Counter
Amoxicillin,Antidepressant,Inhaler,761 mg,Bayer AG,Pain,Prescription
Cefaclor,Antiviral,Ointment,580 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Ibuprofen,Antiviral,Tablet,917 mg,Bayer AG,Fever,Prescription
Amoxicillin,Antifungal,Cream,759 mg,Amgen Inc.,Pain,Prescription
Ibuprofen,Antipyretic,Drops,378 mg,Novartis AG,Virus,Over-the-Counter
Clarithromycin,Antidiabetic,Syrup,815 mg,Bristol-Myers Squibb Company,Virus,Over-the-Counter
Clarithromycin,Antipyretic,Capsule,55 mg,AstraZeneca plc,Wound,Prescription
Cephalexin,Antibiotic,Injection,239 mg,Novo Nordisk A/S,Pain,Prescription
Amoxicillin,Antibiotic,Syrup,542 mg,Sanofi S.A.,Fever,Prescription
Clindamycin,Antidiabetic,Syrup,618 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Acetaminophen,Antifungal,Ointment,183 mg,Pfizer Inc.,Infection,Over-the-Counter
Clarithromycin,Antidiabetic,Cream,722 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Cefadroxil,Antidiabetic,Capsule,165 mg,Roche Holding AG,Fever,Prescription
Cefazolin,Antibiotic,Injection,758 mg,Novartis AG,Infection,Prescription
Cefadroxil,Antifungal,Tablet,249 mg,Roche Holding AG,Virus,Over-the-Counter
Cefadroxil,Antidiabetic,Ointment,78 mg,Pfizer Inc.,Fungus,Over-the-Counter
Cefoperazone,Antidiabetic,Syrup,557 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dextromethorphan,Antibiotic,Tablet,565 mg,Biogen Inc.,Wound,Over-the-Counter
Cefaclor,Antiviral,Ointment,722 mg,Novartis AG,Depression,Over-the-Counter
Ibuprofen,Antiseptic,Inhaler,439 mg,CSL Limited,Wound,Prescription
Amoxicillin,Antifungal,Injection,28 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Dextromethorphan,Antibiotic,Drops,246 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Amoxicillin,Antipyretic,Syrup,287 mg,Johnson & Johnson,Infection,Over-the-Counter
Dextromethorphan,Antiviral,Capsule,697 mg,"Merck & Co., Inc.",Virus,Prescription
Metronidazole,Antidiabetic,Drops,275 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Cefaclor,Antipyretic,Tablet,278 mg,AbbVie Inc.,Wound,Over-the-Counter
Clarithromycin,Antifungal,Injection,422 mg,GlaxoSmithKline plc,Infection,Prescription
Amoxicillin,Antipyretic,Ointment,908 mg,Biogen Inc.,Fungus,Prescription
Paracetamol,Antifungal,Capsule,917 mg,CSL Limited,Diabetes,Prescription
Amoxicillin,Antiviral,Drops,820 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Paracetamol,Analgesic,Ointment,721 mg,AbbVie Inc.,Depression,Over-the-Counter
Amoxicillin,Antipyretic,Inhaler,43 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Ibuprofen,Antidiabetic,Cream,251 mg,GlaxoSmithKline plc,Pain,Prescription
Amoxicillin,Antiseptic,Capsule,923 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetaminophen,Antidiabetic,Syrup,815 mg,Bayer AG,Virus,Prescription
Ibuprofen,Antipyretic,Tablet,976 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dextromethorphan,Antifungal,Tablet,561 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Amoxicillin + Metronidazole,Antiviral,Injection,406 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Amoxicillin,Antiseptic,Ointment,954 mg,Eli Lilly and Company,Infection,Prescription
Cefixime,Antipyretic,Inhaler,351 mg,AbbVie Inc.,Wound,Prescription
Acyclovir,Antidepressant,Inhaler,824 mg,Roche Holding AG,Infection,Over-the-Counter
Amoxicillin,Antifungal,Injection,242 mg,Sanofi S.A.,Fungus,Over-the-Counter
Clarithromycin,Antibiotic,Capsule,342 mg,Eli Lilly and Company,Wound,Over-the-Counter
Amoxicillin,Antidiabetic,Injection,18 mg,Eli Lilly and Company,Fever,Prescription
Ibuprofen,Antidiabetic,Drops,911 mg,Johnson & Johnson,Virus,Prescription
Ibuprofen,Antiviral,Syrup,141 mg,Johnson & Johnson,Fever,Prescription
Metformin,Antiseptic,Drops,421 mg,Bayer AG,Virus,Over-the-Counter
Paracetamol,Antifungal,Cream,307 mg,Novartis AG,Virus,Over-the-Counter
Dextromethorphan,Antipyretic,Syrup,939 mg,Roche Holding AG,Fungus,Over-the-Counter
Amoxicillin + Metronidazole,Antifungal,Drops,240 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dextromethorphan,Analgesic,Ointment,600 mg,Novartis AG,Diabetes,Prescription
Amoxicillin,Antipyretic,Capsule,873 mg,CSL Limited,Wound,Over-the-Counter
Metronidazole,Antidiabetic,Capsule,346 mg,Takeda Pharmaceutical Company Limited,Diabetes,Prescription
Ketoprofen,Antibiotic,Ointment,581 mg,Biogen Inc.,Fungus,Over-the-Counter
Ibuprofen,Antiviral,Tablet,120 mg,Biogen Inc.,Fungus,Prescription
Paracetamol,Antiseptic,Capsule,91 mg,AbbVie Inc.,Fever,Over-the-Counter
Dextromethorphan,Antifungal,Syrup,28 mg,AstraZeneca plc,Diabetes,Prescription
Amoxicillin,Antiseptic,Tablet,521 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Amoxicillin,Antidiabetic,Drops,142 mg,Johnson & Johnson,Diabetes,Prescription
Amoxicillin,Antipyretic,Injection,231 mg,AstraZeneca plc,Virus,Prescription
Metformin,Antidiabetic,Ointment,313 mg,Biogen Inc.,Infection,Over-the-Counter
Paracetamol,Antidepressant,Ointment,666 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Cefaclor,Antibiotic,Cream,318 mg,CSL Limited,Depression,Over-the-Counter
Acetaminophen,Antidiabetic,Syrup,931 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Acetaminophen,Antibiotic,Capsule,430 mg,Amgen Inc.,Diabetes,Prescription
Amoxicillin,Antipyretic,Tablet,783 mg,AstraZeneca plc,Depression,Prescription
Paracetamol,Antiseptic,Syrup,273 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Ibuprofen,Antidepressant,Injection,738 mg,Sanofi S.A.,Wound,Over-the-Counter
Clarithromycin,Antifungal,Inhaler,534 mg,Biogen Inc.,Virus,Prescription
Dextromethorphan,Antipyretic,Capsule,195 mg,Novo Nordisk A/S,Wound,Prescription
Acetaminophen,Antipyretic,Capsule,34 mg,Novartis AG,Wound,Prescription
Clarithromycin,Antibiotic,Drops,951 mg,Roche Holding AG,Diabetes,Prescription
Dextromethorphan,Antidiabetic,Syrup,109 mg,AbbVie Inc.,Virus,Prescription
Ibuprofen,Antiseptic,Capsule,312 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Acetaminophen,Antiseptic,Tablet,137 mg,Amgen Inc.,Fungus,Prescription
Amoxicillin,Antifungal,Tablet,368 mg,"Merck & Co., Inc.",Virus,Prescription
Dextromethorphan,Antidepressant,Capsule,566 mg,CSL Limited,Infection,Prescription
Acetaminophen,Antidepressant,Ointment,609 mg,CSL Limited,Fever,Prescription
Dextromethorphan,Antiviral,Drops,738 mg,AstraZeneca plc,Diabetes,Prescription
Cefoperazone,Antidiabetic,Tablet,441 mg,"Gilead Sciences, Inc.",Pain,Prescription
Ibuprofen,Analgesic,Capsule,895 mg,Pfizer Inc.,Fever,Over-the-Counter
Amoxicillin,Antiviral,Cream,987 mg,Novartis AG,Fungus,Over-the-Counter
Acyclovir,Antiviral,Syrup,59 mg,AstraZeneca plc,Infection,Prescription
Amoxicillin,Antiseptic,Ointment,417 mg,Sanofi S.A.,Wound,Prescription
Acyclovir,Antipyretic,Tablet,230 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Dextromethorphan,Analgesic,Injection,149 mg,Novartis AG,Virus,Prescription
Dextromethorphan,Antidepressant,Drops,287 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Amoxicillin,Antiseptic,Syrup,309 mg,Bayer AG,Virus,Over-the-Counter
Ibuprofen,Antiseptic,Injection,343 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Paracetamol,Analgesic,Cream,379 mg,AstraZeneca plc,Infection,Prescription
Clindamycin,Antibiotic,Cream,662 mg,Roche Holding AG,Infection,Prescription
Paracetamol,Antiviral,Tablet,13 mg,Roche Holding AG,Virus,Over-the-Counter
Clarithromycin,Antiseptic,Cream,772 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Ibuprofen,Antiviral,Ointment,903 mg,AbbVie Inc.,Fever,Prescription
Metoprolol,Antidepressant,Ointment,340 mg,"Gilead Sciences, Inc.",Depression,Prescription
Metronidazole,Antipyretic,Tablet,100 mg,CSL Limited,Pain,Prescription
Acyclovir,Antifungal,Ointment,388 mg,Novo Nordisk A/S,Diabetes,Prescription
Amoxicillin,Antiviral,Drops,768 mg,Novartis AG,Depression,Prescription
